Metric,Dataset,bf,bf_ft,dbn,dp,madmom_bf,madmom_dbn,madmom_dp,main,sppk
AMLt_beat,hjdb,0.97,0.966,0.983,0.973,0.344,0.974,0.862,0.979,0.97
AMLt_beat,jaah,0.816,0.832,0.763,0.949,0.3,0.547,0.41,0.903,0.892
AMLt_beat,rwc_classical,0.535,0.591,0.644,0.69,0.11,0.437,0.175,0.59,0.563
AMLt_beat,rwc_jazz,0.725,0.765,0.816,0.896,0.132,0.654,0.26,0.751,0.722
AMLt_beat,rwc_popular,0.897,0.927,0.96,0.971,0.401,0.895,0.396,0.936,0.93
AMLt_beat,rwc_royalty-free,0.883,0.894,0.95,0.977,0.311,0.828,0.235,0.94,0.95
AMLt_beat,simac,0.862,0.863,0.876,0.877,0.159,0.641,0.337,0.851,0.837
AMLt_beat,smc,0.574,0.631,0.655,0.673,0.045,0.322,0.113,0.61,0.541
AMLt_beat,tapcorrect,0.82,0.85,0.908,0.954,0.194,0.776,0.444,0.89,0.865
F-measure_downbeat,asap,0.0,0.0,0.584,0.407,0.0,0.098,0.0,0.612,0.571
F-measure_downbeat,ballroom,0.0,0.0,0.956,0.46,0.0,0.383,0.0,0.953,0.948
F-measure_downbeat,beatles,0.0,0.0,0.88,0.417,0.0,0.229,0.0,0.888,0.86
F-measure_downbeat,candombe,0.0,0.0,0.997,0.4,0.0,0.018,0.0,0.997,0.997
F-measure_downbeat,filosax,0.0,0.0,0.931,0.498,0.0,0.144,0.0,0.985,0.972
F-measure_downbeat,groove_midi,0.0,0.0,0.834,0.4,0.0,0.266,0.0,0.821,0.812
F-measure_downbeat,guitarset,0.0,0.0,0.892,0.402,0.0,0.146,0.0,0.882,0.9
F-measure_downbeat,hainsworth,0.0,0.0,0.805,0.412,0.0,0.363,0.0,0.8,0.774
F-measure_downbeat,harmonix,0.0,0.0,0.913,0.401,0.0,0.446,0.0,0.907,0.892
F-measure_downbeat,hjdb,0.0,0.0,0.966,0.401,0.0,0.757,0.0,0.966,0.964
F-measure_downbeat,jaah,0.0,0.0,0.793,0.509,0.0,0.114,0.0,0.85,0.821
F-measure_downbeat,rwc_classical,0.0,0.0,0.633,0.435,0.0,0.15,0.0,0.663,0.615
F-measure_downbeat,rwc_jazz,0.0,0.0,0.736,0.476,0.0,0.218,0.0,0.807,0.77
F-measure_downbeat,rwc_popular,0.0,0.0,0.939,0.408,0.0,0.493,0.0,0.937,0.92
F-measure_downbeat,rwc_royalty-free,0.0,0.0,0.934,0.452,0.0,0.422,0.0,0.919,0.91
F-measure_downbeat,simac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F-measure_downbeat,smc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F-measure_downbeat,tapcorrect,0.0,0.0,0.88,0.391,0.0,0.368,0.0,0.864,0.822
Cemgil_downbeat,asap,0.0,0.0,0.55,0.426,0.0,0.102,0.0,0.58,0.545
Cemgil_downbeat,ballroom,0.0,0.0,0.903,0.526,0.0,0.374,0.0,0.901,0.896
Cemgil_downbeat,beatles,0.0,0.0,0.794,0.48,0.0,0.213,0.0,0.8,0.779
Cemgil_downbeat,candombe,0.0,0.0,0.905,0.477,0.0,0.026,0.0,0.905,0.904
Cemgil_downbeat,filosax,0.0,0.0,0.854,0.595,0.0,0.149,0.0,0.906,0.894
Cemgil_downbeat,groove_midi,0.0,0.0,0.777,0.469,0.0,0.22,0.0,0.763,0.755
Cemgil_downbeat,guitarset,0.0,0.0,0.819,0.474,0.0,0.148,0.0,0.807,0.823
Cemgil_downbeat,hainsworth,0.0,0.0,0.779,0.487,0.0,0.375,0.0,0.774,0.755
Cemgil_downbeat,harmonix,0.0,0.0,0.83,0.474,0.0,0.428,0.0,0.823,0.81
Cemgil_downbeat,hjdb,0.0,0.0,0.934,0.511,0.0,0.735,0.0,0.934,0.933
Cemgil_downbeat,jaah,0.0,0.0,0.717,0.58,0.0,0.123,0.0,0.768,0.744
Cemgil_downbeat,rwc_classical,0.0,0.0,0.521,0.4,0.0,0.138,0.0,0.547,0.513
Cemgil_downbeat,rwc_jazz,0.0,0.0,0.655,0.499,0.0,0.214,0.0,0.692,0.664
Cemgil_downbeat,rwc_popular,0.0,0.0,0.885,0.504,0.0,0.483,0.0,0.881,0.865
Cemgil_downbeat,rwc_royalty-free,0.0,0.0,0.738,0.442,0.0,0.38,0.0,0.716,0.713
Cemgil_downbeat,simac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cemgil_downbeat,smc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cemgil_downbeat,tapcorrect,0.0,0.0,0.827,0.469,0.0,0.374,0.0,0.816,0.784
CMLt_downbeat,asap,0.0,0.0,0.389,0.052,0.0,0.06,0.0,0.235,0.177
CMLt_downbeat,ballroom,0.0,0.0,0.953,0.0,0.0,0.344,0.0,0.93,0.908
CMLt_downbeat,beatles,0.0,0.0,0.792,0.0,0.0,0.186,0.0,0.737,0.673
CMLt_downbeat,candombe,0.0,0.0,0.999,0.0,0.0,0.058,0.0,0.999,0.999
CMLt_downbeat,filosax,0.0,0.0,0.858,0.0,0.0,0.009,0.0,0.961,0.926
CMLt_downbeat,groove_midi,0.0,0.0,0.788,0.0,0.0,0.262,0.0,0.727,0.684
CMLt_downbeat,guitarset,0.0,0.0,0.817,0.0,0.0,0.102,0.0,0.798,0.812
CMLt_downbeat,hainsworth,0.0,0.0,0.76,0.004,0.0,0.328,0.0,0.636,0.567
CMLt_downbeat,harmonix,0.0,0.0,0.864,0.0,0.0,0.413,0.0,0.812,0.762
CMLt_downbeat,hjdb,0.0,0.0,0.967,0.0,0.0,0.757,0.0,0.948,0.934
CMLt_downbeat,jaah,0.0,0.0,0.649,0.0,0.0,0.023,0.0,0.715,0.617
CMLt_downbeat,rwc_classical,0.0,0.0,0.4,0.054,0.0,0.145,0.0,0.342,0.274
CMLt_downbeat,rwc_jazz,0.0,0.0,0.515,0.0,0.0,0.172,0.0,0.712,0.617
CMLt_downbeat,rwc_popular,0.0,0.0,0.897,0.0,0.0,0.453,0.0,0.87,0.816
CMLt_downbeat,rwc_royalty-free,0.0,0.0,0.87,0.0,0.0,0.404,0.0,0.822,0.795
CMLt_downbeat,simac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMLt_downbeat,smc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMLt_downbeat,tapcorrect,0.0,0.0,0.791,0.0,0.0,0.318,0.0,0.682,0.577
AMLt_downbeat,asap,0.0,0.0,0.606,0.2,0.0,0.157,0.0,0.439,0.373
AMLt_downbeat,ballroom,0.0,0.0,0.969,0.159,0.0,0.407,0.0,0.941,0.926
AMLt_downbeat,beatles,0.0,0.0,0.88,0.099,0.0,0.257,0.0,0.82,0.774
AMLt_downbeat,candombe,0.0,0.0,0.999,0.0,0.0,0.07,0.0,0.999,0.999
AMLt_downbeat,filosax,0.0,0.0,0.867,0.373,0.0,0.028,0.0,0.961,0.926
AMLt_downbeat,groove_midi,0.0,0.0,0.895,0.056,0.0,0.351,0.0,0.819,0.784
AMLt_downbeat,guitarset,0.0,0.0,0.906,0.076,0.0,0.252,0.0,0.874,0.885
AMLt_downbeat,hainsworth,0.0,0.0,0.848,0.098,0.0,0.444,0.0,0.751,0.702
AMLt_downbeat,harmonix,0.0,0.0,0.925,0.038,0.0,0.495,0.0,0.859,0.817
AMLt_downbeat,hjdb,0.0,0.0,0.977,0.019,0.0,0.779,0.0,0.956,0.947
AMLt_downbeat,jaah,0.0,0.0,0.751,0.468,0.0,0.081,0.0,0.742,0.671
AMLt_downbeat,rwc_classical,0.0,0.0,0.585,0.257,0.0,0.231,0.0,0.476,0.4
AMLt_downbeat,rwc_jazz,0.0,0.0,0.812,0.415,0.0,0.288,0.0,0.767,0.691
AMLt_downbeat,rwc_popular,0.0,0.0,0.94,0.064,0.0,0.518,0.0,0.892,0.842
AMLt_downbeat,rwc_royalty-free,0.0,0.0,0.937,0.132,0.0,0.465,0.0,0.822,0.795
AMLt_downbeat,simac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMLt_downbeat,smc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMLt_downbeat,tapcorrect,0.0,0.0,0.877,0.033,0.0,0.425,0.0,0.765,0.713
